,Timestamp,Source IP,Destination IP,Protocol,Payload
15,22:54:18,192.168.0.101,142.250.183.74,UDP,5fe69cac8e69ed268543efa523bbb54b95b4ea021ab27a53ac262150007b8dab9d7b21
16,22:54:18,142.250.183.74,192.168.0.101,UDP,5d58887924b47640e2ae21f6b3813c0f63d28510a26159a9
17,22:54:18,192.168.0.101,151.101.155.42,TCP,00
18,22:54:18,151.101.155.42,192.168.0.101,TCP,<no payload>
19,22:54:18,192.168.0.101,13.89.179.9,TCP,<no payload>
20,22:54:20,192.168.0.101,151.101.155.42,TCP,00
21,22:54:20,151.101.155.42,192.168.0.101,TCP,<no payload>
22,22:54:21,192.168.0.101,140.82.113.22,TCP,<no payload>
23,22:54:22,192.168.0.101,35.190.10.96,TCP,00
24,22:54:22,35.190.10.96,192.168.0.101,TCP,<no payload>
25,22:54:22,192.168.0.101,151.101.154.133,TCP,00
26,22:54:22,151.101.154.133,192.168.0.101,TCP,<no payload>
27,22:54:27,13.107.42.18,192.168.0.101,TCP,<no payload>
28,22:54:29,192.168.0.101,192.168.0.1,UDP,<no payload>
29,22:54:29,192.168.0.1,192.168.0.101,UDP,<no payload>
30,22:54:29,192.168.0.101,20.189.173.23,TCP,<no payload>
31,22:54:29,192.168.0.101,151.101.155.42,TCP,00
32,22:54:29,151.101.155.42,192.168.0.101,TCP,<no payload>
33,22:54:30,20.189.173.23,192.168.0.101,TCP,<no payload>
34,22:54:30,192.168.0.101,20.189.173.23,TCP,<no payload>
35,22:54:30,192.168.0.101,20.189.173.23,TCP,16030101c9010001c50303e82a1238ee0a3141b5e43ccaafd11d869df9e2f375e3c9a2bf863cdd5008f21b20a9a58ae7bad233b43dd8be1d09856ed9b409339c1428378d2812aeb98c014f40002813021301c02cc02bc030c02fc024c023c028c027c00a
36,22:54:30,192.168.0.1,224.0.0.1,Other,1164ee9b00000000
37,22:54:30,20.189.173.23,192.168.0.101,TCP,16030300bb020000b703037271bd5a398210d3c20dc9a25f059127c8fa07683b7f6a526f6d7878ed667b9120a9a58ae7bad233b43dd8be1d09856ed9b409339c1428378d2812aeb98c014f40130200006f002b00020304003300650018006104e9a72cdc
38,22:54:30,20.189.173.23,192.168.0.101,TCP,722cb037f7eb71ecbb9ffcd17acacd50ecbcc4be14deafa9893976428be6968e6681454187c6f3cd83616673568664262ce5f9cbded07e294b48f9378abd0df0bab7710b99b78d32605ed498c7e24fe3179bf36fed060b7b71cf392df50edfd29f66164d
39,22:54:30,20.189.173.23,192.168.0.101,TCP,459ab52fc0dd7014b784d8f5bd351a01984a12e964fa3dd20fc5ec048e240d37163e44acbd70b96f152bba37b8f3d08d417c3de67b411f806d19d3d48b8d34b0e7f8503e14b0f0d8d24a6e290ebbf96b7dfeffaf69489122b86afb37408200a548d09e91
40,22:54:30,20.189.173.23,192.168.0.101,TCP,15c88f1c3b36370900e7d3ee340d3427de2c8cc6a9e0bd688ea72eb7c8c66335e5f8f7838627ad959fc2636949c5bac48621beaa868de9ba0a102a80e2911da74a1dcd2f91fb401fe824cc965264ec37ecf55d55e6bc497d8f47a8000fcfb2e95a088767
41,22:54:30,192.168.0.101,20.189.173.23,TCP,<no payload>
42,22:54:30,20.189.173.23,192.168.0.101,TCP,20deec4ec5f0adfaa8411ca3f15b2130db4b60a016e3fcff703c5097cbc3683e364479f432b23e1dd351ab2aa06a84b359a11b3bb26aa0b9d5ec9d7127c3752dfa8c0c65b6dfdac00c1bf085e5c083ee9162b6a72a2b6a460b8e5c0084f26c0959e808d4
43,22:54:30,192.168.0.101,20.189.173.23,TCP,<no payload>
44,22:54:30,192.168.0.101,20.189.173.23,TCP,140303000101170303004556e7c644ebe88f7d12b1e0c4fc7bd5927548b0489407371b9b9c8fa7ac496a1450e748311d8b58c60501c054c00e01e9fab616dc8a230d093066006ccd39538289194ca9e2
45,22:54:30,192.168.0.101,20.189.173.23,TCP,17030303826546e650a2c9e634202c6ec3345c3cea3f780627200b33ca42fdc070dddf948e8bf36048bf47b880d4954df6687d7a0be7a9e31b199c094d67a74fcfbc90a60122bc88f998c5fef422636ca45223535151e19483b2611723a916bc67415c1c
46,22:54:30,20.189.173.23,192.168.0.101,TCP,<no payload>
47,22:54:30,20.189.173.23,192.168.0.101,TCP,1703030062d2215266ee7a683725013eec24ef5374d5f1512c32766c4b6ce43e4afd372ffcd4400af9271989a26195e2af07304f181939187aea4990113b836e3f3ed95d0881ac02ad8371cdae11e07d3053f18b7d3104bfbefa06255847efb7340fa314
48,22:54:30,192.168.0.101,20.189.173.23,TCP,<no payload>
49,22:54:30,20.189.173.23,192.168.0.101,TCP,17030302036f079dfa1c84063bf6a9cda374e8be991e39071712c86a33ce408fcf23b43947aadf5df54cce46fb37429dd73e458c42631f8aa0978dd80d2010a2cd773aae1d97a0c8a5c629e308968b93bbdb6f5cd54b1af311f2fab731e4e7307e22fee2
50,22:54:30,192.168.0.101,20.189.173.23,TCP,<no payload>
51,22:54:31,192.168.0.101,239.255.255.250,Other,1600fa04effffffa
52,22:54:31,192.168.0.101,140.82.113.22,TCP,<no payload>
53,22:54:31,192.168.0.101,151.101.155.42,TCP,00
54,22:54:31,151.101.155.42,192.168.0.101,TCP,<no payload>
55,22:54:32,192.168.0.101,224.0.0.252,Other,16000903e00000fc
56,22:54:32,192.168.0.101,224.0.0.251,Other,16000904e00000fb
57,22:54:34,192.168.0.101,4.213.25.240,TCP,00
58,22:54:34,4.213.25.240,192.168.0.101,TCP,<no payload>
59,22:54:34,192.168.0.101,20.189.173.23,TCP,17030303f408509332a1701def0108db653a6d0ee4c68d320037289cdb0c5a5ff5252626685b24f7da03f27eccce3a00cbf467b08663f420cd98ea618d69dba8c6fef12820829026efdce6e9382c34d6039b4864329d657c21f10dce9fef91ece13e7d5d
60,22:54:35,20.189.173.23,192.168.0.101,TCP,17030302059ed885186299737d171516f82857292bff788caf7d963b12c16c138068f51c60fa5352e85edc9bd968b2ecb448472c3113a02247943f290c543767a64a449109c18badfb3b2aa4532dad01be6544a477fba6ba50dfdd5fda594165fdf995d0
61,22:54:35,192.168.0.101,20.189.173.23,TCP,<no payload>
62,22:54:35,192.168.0.101,20.189.173.23,TCP,<no payload>
63,22:54:37,192.168.0.101,74.125.24.188,TCP,00
64,22:54:37,74.125.24.188,192.168.0.101,TCP,<no payload>
65,22:54:39,192.168.0.101,185.199.111.133,TCP,00
66,22:54:39,185.199.111.133,192.168.0.101,TCP,<no payload>
67,22:54:39,192.168.0.101,35.190.10.96,TCP,00
68,22:54:39,35.190.10.96,192.168.0.101,TCP,<no payload>
69,22:54:40,192.168.0.101,192.168.0.1,UDP,<no payload>
70,22:54:40,192.168.0.1,192.168.0.101,UDP,<no payload>
71,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
72,22:54:40,20.190.146.33,192.168.0.101,TCP,<no payload>
73,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
74,22:54:40,192.168.0.101,20.190.146.33,TCP,16030101d6010001d203037761497dca9334790b6ba2418ad77b24338342fcaaabefd64e00639d07a1226b2024fd5b6f7626bce92893fb1581cc868906115965a52dc818d286df867c128b9c002813021301c02cc02bc030c02fc024c023c028c027c00a
75,22:54:40,20.190.146.33,192.168.0.101,TCP,16030300bb020000b703036c0629648e3d043ddfe59177aac4935a5aa05a69e2555125e1ec12fa3db9d48f2024fd5b6f7626bce92893fb1581cc868906115965a52dc818d286df867c128b9c130200006f002b00020304003300650018006104bd934501
76,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
77,22:54:40,20.190.146.33,192.168.0.101,TCP,9fb374bc475aae1252ac2ef219a5ff6155652059ff2cd12ef7b4a70f45b271b083bf11c86961f4f3409c801c629cfe4ca09d08e86dc80281b1b36ac8ec284dea6e1df9572458a140b5d1c64cf2d779484a2017406d0182eb4ee93925b2ff1a45e69c8a3f
78,22:54:40,20.190.146.33,192.168.0.101,TCP,b69ddcf0e4a5c76db44b111e73f3cb651b42a45e4f867d342b5e77d99ab6867032d03410b29d14d5f49c5e60ffb87757e60d813535ddda053a44d6e7450707eb2e716b087ec445c0da657ce486b708a231ef6b80a800e5a3036812e7d2db4ace6d6cdf3e
79,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
80,22:54:40,192.168.0.101,20.190.146.33,TCP,1403030001011703030045493bd4170845b2f4a040aa0b0451aecb8fe8a6d84bf178309a017873a9a6cf8372a1a047018d0c4f90c4744f1ba9bcd352e8914cc49e7e86f91ce5a991d4a99cfdf1935dfa
81,22:54:40,192.168.0.101,20.190.146.33,TCP,170303004b8dbc5a5818a6bc6bd0251eefc095cd6d024146d25530bb617710e6107bccd884872af042492c7ff906c7f815f109ef36c4771a73faf11b82e6171a4fffc179590ad35ff9d3ccdaa2ad01f0
82,22:54:40,192.168.0.101,20.190.146.33,TCP,17030301cd06f1aeac23d4b57375e7e1402a823adfc8ee19ce849554234a81b472c3feaeb12f0fdbc641fdf3b67e79260f9f0687d21c94ce0e6cd5b37c0380e4d3e26ae323b148b95d0994acdcb3ef0ee9b99c167392a43183d6d220720f3fc3105dc7e6
83,22:54:40,192.168.0.101,20.190.146.33,TCP,1703030a7b97dcedfdcf5dc8daddf1d23b1649ea66ca7fb336fceebd00cefab4ee4b1949d399d61a26da39aeec41f8114e13cf5ea90d966bbe7e06b250fb2bcb37de7ee8555057566c71868e4976cca611b6036770cf6aa4b26cf77b002096e1aa8293e5
84,22:54:40,192.168.0.101,20.190.146.33,TCP,170303001a4cf98d32ae9abb64b42a58b25cb5b55174b816a65ded0117e9e9
85,22:54:40,20.190.146.33,192.168.0.101,TCP,<no payload>
86,22:54:40,20.190.146.33,192.168.0.101,TCP,<no payload>
